session_id,source_session,variant_id,week_index,start_scale,end_scale,angle_bias_deg,noise_std_deg
synth_session_2026-02-23_213644_v01_w12,session_2026-02-23_213644,0,12,1.0,1.0,0.0,0.0
synth_session_2026-02-23_213644_v02_w12,session_2026-02-23_213644,0,12,1.0,1.0,0.0,0.0
synth_session_2026-02-23_213644_v03_w12,session_2026-02-23_213644,0,12,1.0,1.0,0.0,0.0
synth_session_2026-02-23_213644_v04_w12,session_2026-02-23_213644,0,12,1.0,1.0,0.0,0.0
synth_session_2026-02-23_213644_v05_w12,session_2026-02-23_213644,0,12,1.0,1.0,0.0,0.0
synth_session_2026-02-23_213644_v06_w12,session_2026-02-23_213644,0,12,1.0,1.0,0.0,0.0
synth_session_2026-02-23_213644_v07_w12,session_2026-02-23_213644,0,12,1.0,1.0,0.0,0.0
synth_session_2026-02-23_213644_v08_w12,session_2026-02-23_213644,0,12,1.0,1.0,0.0,0.0
synth_session_2026-02-23_213644_v01_w00,session_2026-02-23_213644,1,0,0.6821960334109707,0.9668888087814222,-1.820274382205298,1.3375317505901416
synth_session_2026-02-23_213644_v01_w01,session_2026-02-23_213644,1,1,0.6821960334109707,0.9668888087814222,-1.820274382205298,1.3375317505901416
synth_session_2026-02-23_213644_v01_w02,session_2026-02-23_213644,1,2,0.6821960334109707,0.9668888087814222,-1.820274382205298,1.3375317505901416
synth_session_2026-02-23_213644_v01_w03,session_2026-02-23_213644,1,3,0.6821960334109707,0.9668888087814222,-1.820274382205298,1.3375317505901416
synth_session_2026-02-23_213644_v01_w04,session_2026-02-23_213644,1,4,0.6821960334109707,0.9668888087814222,-1.820274382205298,1.3375317505901416
synth_session_2026-02-23_213644_v01_w05,session_2026-02-23_213644,1,5,0.6821960334109707,0.9668888087814222,-1.820274382205298,1.3375317505901416
synth_session_2026-02-23_213644_v01_w06,session_2026-02-23_213644,1,6,0.6821960334109707,0.9668888087814222,-1.820274382205298,1.3375317505901416
synth_session_2026-02-23_213644_v01_w07,session_2026-02-23_213644,1,7,0.6821960334109707,0.9668888087814222,-1.820274382205298,1.3375317505901416
synth_session_2026-02-23_213644_v01_w08,session_2026-02-23_213644,1,8,0.6821960334109707,0.9668888087814222,-1.820274382205298,1.3375317505901416
synth_session_2026-02-23_213644_v01_w09,session_2026-02-23_213644,1,9,0.6821960334109707,0.9668888087814222,-1.820274382205298,1.3375317505901416
synth_session_2026-02-23_213644_v01_w10,session_2026-02-23_213644,1,10,0.6821960334109707,0.9668888087814222,-1.820274382205298,1.3375317505901416
synth_session_2026-02-23_213644_v01_w11,session_2026-02-23_213644,1,11,0.6821960334109707,0.9668888087814222,-1.820274382205298,1.3375317505901416
synth_session_2026-02-23_213644_v02_w00,session_2026-02-23_213644,2,0,0.7995505711189634,0.9452414210952684,-7.841593798450397,1.6223983490062064
synth_session_2026-02-23_213644_v02_w01,session_2026-02-23_213644,2,1,0.7995505711189634,0.9452414210952684,-7.841593798450397,1.6223983490062064
synth_session_2026-02-23_213644_v02_w02,session_2026-02-23_213644,2,2,0.7995505711189634,0.9452414210952684,-7.841593798450397,1.6223983490062064
synth_session_2026-02-23_213644_v02_w03,session_2026-02-23_213644,2,3,0.7995505711189634,0.9452414210952684,-7.841593798450397,1.6223983490062064
