Time (ms),Yaw (degrees),Pitch (degrees),Roll (degrees)
61663.0,2.929169,-9.422129,11.505589
62119.0,336.664948,-0.924763,-2.943211
62158.0,339.134186,-0.3367,-3.334185
62258.0,332.742004,-0.879747,-3.312912
62356.0,339.148132,-0.340422,-3.714752
62465.0,332.242523,-0.489531,-2.327114
62564.0,338.620972,-0.347679,-3.613437
62663.0,332.574371,-0.549983,-1.403227
62762.0,337.588989,-0.133418,-5.898718
62861.0,340.077332,-1.125401,0.334845
62960.0,335.479401,-0.099866,-4.348472
63069.0,342.421356,-0.812867,-2.866131
63158.0,336.710205,0.392128,-3.656236
63257.0,339.689301,-5.422309,-1.737958
63357.0,336.906006,0.672105,-3.655308
63455.0,341.288483,-4.227789,-2.280358
63554.0,337.590912,1.165824,-3.918948
63663.0,343.381866,-2.944904,-2.048966
63752.0,337.852814,-0.643491,-2.996349
63851.0,331.860718,1.138699,-4.24416
63950.0,337.975067,-0.722306,-3.169799
64070.0,330.50119,0.048678,-4.180274
64148.0,335.409302,-0.310824,-3.535439
64247.0,341.80246,-0.714871,-3.596087
64346.0,335.558777,0.461982,-3.153912
64504.0,345.043518,0.633692,-6.856911
64544.0,342.667572,0.498107,-5.53329
64644.0,336.61908,0.10607,-2.926642
64743.0,336.729645,-0.564291,-9.423311
64880.0,341.219543,-0.839231,4.113015
64950.0,339.505585,-0.68378,-2.067302
65049.0,335.845245,0.768279,-7.883455
65148.0,337.059967,-5.74807,-6.843976
65247.0,334.427246,0.842035,-4.868935
65346.0,332.786102,0.035033,-3.389152
65445.0,329.899261,2.673648,3.39841
65722.0,318.596741,2.338141,4.000738
65743.0,317.849915,2.14738,4.075839
65842.0,314.64917,2.247424,3.042623
65950.0,310.332611,1.718084,8.346601
68208.0,292.960449,-35.223179,-81.733498
68237.0,292.748352,-34.250416,-80.948723
68337.0,292.003296,-31.20122,-78.346024
68435.0,292.685333,-27.47233,-74.380157
68534.0,293.413177,-23.981453,-72.243217
68633.0,294.451233,-19.935619,-70.448929
68733.0,294.996948,-15.891231,-67.634155
68831.0,296.061676,-11.987429,-64.63797
68930.0,297.805298,-5.870904,-67.678154
69029.0,299.883331,-1.215101,-67.39328
69128.0,302.698914,-3.651691,-72.009811
69227.0,304.173737,-2.024517,-68.541191
69326.0,305.44519,-1.329441,-74.890564
69425.0,306.91037,-2.038317,-71.686317
69524.0,307.717773,-7.061931,-69.998947
69623.0,309.986603,-2.004591,-69.725143
69722.0,310.429108,-1.283005,-75.458984
69860.0,312.166382,-2.958702,-69.850502
72406.0,152.670502,5.245565,15.983503
72504.0,154.434875,5.444605,13.229121
72603.0,156.198975,5.816397,10.229321
72703.0,157.890976,6.427121,7.118274
72802.0,159.542877,7.193058,3.53119
72900.0,161.407074,7.849888,-0.530956
73028.0,163.445526,9.166783,-5.609064
73108.0,164.711655,9.961131,-9.535373
73226.0,165.681061,11.719557,-16.715267
73306.0,166.373276,12.91284,-21.372484
73434.0,167.343063,14.902506,-29.063444
73533.0,166.974991,15.577067,-35.511456
73603.0,166.69664,15.780131,-40.632473
73702.0,165.613663,15.523355,-47.144596
73830.0,164.236282,14.194992,-55.186337
73900.0,163.506561,13.371967,-58.804508
74058.0,161.96373,10.232541,-67.559265
74098.0,161.685715,9.038412,-69.689377
74197.0,159.07338,7.698852,-76.136963
74296.0,156.635193,11.505657,-76.031998
74524.0,148.62616,9.254937,-77.255859
74593.0,145.593338,9.899816,-80.576363
74692.0,143.273621,5.984968,-79.643501
75960.0,29.412365,71.98201,-121.786057
75989.0,32.02433,70.994957,-119.856323
76118.0,41.807137,65.506248,-113.228157
76196.0,46.895344,61.821476,-110.02253
76286.0,52.064507,57.198734,-107.660683
76752.0,71.868111,29.531723,-104.213478
