age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income,month_of_birth
46,Private,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,0,0,16,United-States,84794,10
17,,10th,6,Never-married,,Own-child,White,Male,0,0,40,United-States,5598,12
41,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,65,United-States,30649,6
51,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,69119,5
20,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,16080,7
21,Private,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,46,United-States,14202,9
49,Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,Black,Female,0,0,40,United-States,27072,2
25,Local-gov,HS-grad,9,Divorced,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,0,0,35,United-States,9926,2
55,Private,HS-grad,9,Separated,Adm-clerical,Not-in-family,White,Female,0,0,25,United-States,5857,4
49,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,80,United-States,30028,11
29,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,55,United-States,36736,1
51,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,United-States,25033,10
26,Private,Bachelors,13,Never-married,Other-service,Other-relative,White,Male,0,0,15,United-States,46937,1
48,Private,HS-grad,9,Widowed,Machine-op-inspct,Not-in-family,White,Female,0,0,10,United-States,30196,7
42,Local-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,57279,9
38,Private,Bachelors,13,Divorced,Tech-support,Other-relative,White,Male,0,0,40,United-States,1319,11
31,Private,11th,7,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,Puerto-Rico,32754,8
55,Self-emp-inc,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,,50656,12
57,Local-gov,Some-college,10,Widowed,Exec-managerial,Not-in-family,White,Male,6849,0,40,United-States,13564,6
49,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States,76621,5
42,Local-gov,Assoc-voc,11,Widowed,Prof-specialty,Unmarried,Black,Female,0,0,40,United-States,12562,4
45,Federal-gov,Some-college,10,Divorced,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,914,0,40,United-States,41092,6
27,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,80,United-States,7225,12
41,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,United-States,23299,2
41,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,16593,11
22,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,21561,1
54,Local-gov,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,32172,6
37,State-gov,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,8614,0,40,United-States,61470,11
56,Self-emp-not-inc,Some-college,10,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,0,0,50,United-States,26684,4
46,Self-emp-not-inc,Bachelors,13,Never-married,Farming-fishing,Not-in-family,White,Female,0,0,40,United-States,43030,7
25,Private,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,39603,12
59,Local-gov,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,599,6
40,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,66375,7
40,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,32617,12
32,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Other,Male,0,0,40,Ecuador,36850,1
37,Private,Some-college,10,Never-married,Tech-support,Own-child,Black,Female,0,0,40,United-States,48393,8
36,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,24589,4
53,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,115710,11
27,Private,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Male,3325,0,40,United-States,19959,5
46,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,1672,40,United-States,8114,1
26,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,76128,10
26,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,44441,10
33,Private,Some-college,10,Divorced,Craft-repair,Unmarried,White,Male,0,0,50,United-States,41221,7
18,Private,HS-grad,9,Never-married,Other-service,Own-child,Asian-Pac-Islander,Female,0,0,20,United-States,12412,11
56,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,20,China,18572,1
18,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,17,United-States,33457,11
60,Local-gov,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,12742,6
34,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,78322,2
27,Private,11th,7,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,45051,7
53,Local-gov,HS-grad,9,Separated,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,40993,12
17,Private,12th,8,Never-married,Other-service,Own-child,Black,Male,0,0,18,United-States,9293,4
24,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,30422,12
52,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,62062,3
68,Local-gov,Masters,14,Widowed,Prof-specialty,Unmarried,Black,Female,0,0,40,United-States,76610,4
34,State-gov,Assoc-voc,11,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,24123,11
41,Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,0,0,60,United-States,45357,3
46,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,41266,11
29,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,0,0,45,United-States,82199,6
54,Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,45,United-States,35929,12
42,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,88284,11
45,Private,HS-grad,9,Widowed,Craft-repair,Not-in-family,White,Female,0,0,40,United-States,49704,5
70,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,44206,7
37,Private,HS-grad,9,Never-married,Sales,Unmarried,White,Male,0,0,40,United-States,30237,7
49,Private,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Female,0,1564,40,Canada,76472,7
50,Local-gov,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,Mexico,15360,7
40,Private,HS-grad,9,Separated,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,11012,8
20,Self-emp-inc,9th,5,Never-married,Craft-repair,Unmarried,White,Male,0,625,40,United-States,48628,6
46,Private,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,20,United-States,12275,2
29,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,42569,1
24,Private,Assoc-voc,11,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0,40,Philippines,37689,1
67,Self-emp-not-inc,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,0,0,20,United-States,27059,3
31,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,18,United-States,7218,7
39,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,105336,11
49,Private,Bachelors,13,Never-married,Priv-house-serv,Not-in-family,White,Male,0,0,25,United-States,17130,9
23,Private,HS-grad,9,Divorced,Other-service,Own-child,White,Female,0,0,10,United-States,29631,8
30,Private,Assoc-voc,11,Never-married,Adm-clerical,Own-child,White,Female,0,0,32,United-States,26384,3
43,Local-gov,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,17,United-States,13301,1
43,Local-gov,12th,8,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1579,40,United-States,21612,9
55,Private,Masters,14,Never-married,Prof-specialty,Other-relative,Asian-Pac-Islander,Female,0,0,40,Thailand,12100,10
47,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,119229,5
53,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,30,United-States,14881,3
33,Private,1st-4th,2,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Mexico,31600,5
23,Private,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,4530,5
18,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,0,0,40,United-States,46692,3
47,Private,Some-college,10,Separated,Transport-moving,Unmarried,White,Male,0,0,50,United-States,50004,5
51,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,60,United-States,62749,5
50,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,,79982,11
33,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,84937,12
49,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,27001,12
23,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,45,United-States,28038,1
35,Private,7th-8th,4,Married-spouse-absent,Other-service,Not-in-family,White,Male,0,0,25,Mexico,16098,6
55,Federal-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,61445,10
62,Self-emp-not-inc,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7298,0,70,United-States,59516,6
38,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,25662,3
75,,Assoc-voc,11,Married-civ-spouse,,Wife,White,Female,0,0,20,United-States,44124,8
47,Federal-gov,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Black,Male,0,0,40,United-States,5108,10
43,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,30582,3
46,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,United-States,48297,8
43,Self-emp-inc,HS-grad,9,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,78,Thailand,4166,4
37,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,72,Mexico,18439,7
27,State-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,40,United-States,37703,5
26,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,82844,5
45,Federal-gov,Bachelors,13,Never-married,Protective-serv,Not-in-family,Black,Female,0,0,40,United-States,43235,3
30,Private,HS-grad,9,Never-married,Transport-moving,Own-child,Black,Male,0,0,40,United-States,17779,11
36,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,23425,7
45,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,37565,7
34,Private,HS-grad,9,Never-married,Priv-house-serv,Not-in-family,White,Female,0,0,40,Mexico,8700,3
40,Self-emp-inc,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,55,Trinadad&Tobago,14554,3
